"year","season","week","date","fishing_c","fishing_n"
2018,"2018-19",8,2018-11-14,TRUE,FALSE
2018,"2018-19",9,2018-11-21,TRUE,FALSE
2018,"2018-19",10,2018-11-28,TRUE,TRUE
2018,"2018-19",11,2018-12-05,TRUE,TRUE
2018,"2018-19",12,2018-12-12,TRUE,TRUE
2018,"2018-19",13,2018-12-19,TRUE,TRUE
2018,"2018-19",14,2018-12-26,TRUE,TRUE
2018,"2018-19",15,2019-01-02,TRUE,TRUE
2018,"2018-19",16,2019-01-09,TRUE,TRUE
2018,"2018-19",17,2019-01-16,TRUE,TRUE
2018,"2018-19",18,2019-01-23,TRUE,TRUE
2018,"2018-19",19,2019-01-30,TRUE,TRUE
2018,"2018-19",20,2019-02-06,TRUE,TRUE
2018,"2018-19",21,2019-02-13,TRUE,TRUE
2018,"2018-19",22,2019-02-20,TRUE,TRUE
2018,"2018-19",23,2019-02-27,TRUE,TRUE
2018,"2018-19",24,2019-03-06,TRUE,TRUE
2018,"2018-19",25,2019-03-13,TRUE,TRUE
2018,"2018-19",26,2019-03-20,TRUE,TRUE
2018,"2018-19",27,2019-03-27,TRUE,TRUE
2018,"2018-19",28,2019-04-03,TRUE,TRUE
2018,"2018-19",29,2019-04-10,TRUE,TRUE
2018,"2018-19",30,2019-04-17,TRUE,TRUE
2018,"2018-19",31,2019-04-24,TRUE,TRUE
2018,"2018-19",32,2019-05-01,TRUE,TRUE
2018,"2018-19",33,2019-05-08,TRUE,TRUE
2018,"2018-19",34,2019-05-15,TRUE,TRUE
2018,"2018-19",35,2019-05-22,TRUE,TRUE
2018,"2018-19",36,2019-05-29,TRUE,TRUE
2018,"2018-19",37,2019-06-05,TRUE,TRUE
2018,"2018-19",38,2019-06-12,TRUE,TRUE
2018,"2018-19",39,2019-06-19,TRUE,TRUE
2018,"2018-19",40,2019-06-26,TRUE,TRUE
2018,"2018-19",41,2019-07-03,FALSE,TRUE
2018,"2018-19",42,2019-07-10,FALSE,TRUE
2018,"2018-19",43,2019-07-17,FALSE,FALSE
2018,"2018-19",44,2019-07-24,FALSE,FALSE
2018,"2018-19",45,2019-07-31,FALSE,FALSE
2018,"2018-19",46,2019-08-07,FALSE,FALSE
2018,"2018-19",47,2019-08-14,FALSE,FALSE
2018,"2018-19",48,2019-08-21,FALSE,FALSE
2018,"2018-19",49,2019-08-28,FALSE,FALSE
2018,"2018-19",50,2019-09-04,FALSE,FALSE
2018,"2018-19",51,2019-09-11,FALSE,FALSE
2018,"2018-19",52,2019-09-18,FALSE,FALSE
