county,location,date,agency,type,da_ppm
Humboldt,Clam Beach,5/16/18,CA Dept of Fish & Wildlife,Meat,52
Humboldt,Clam Beach,5/16/18,CA Dept of Fish & Wildlife,Meat,53
Humboldt,Clam Beach,5/16/18,CA Dept of Fish & Wildlife,Meat,<2.5
Humboldt,Clam Beach,5/16/18,CA Dept of Fish & Wildlife,Meat,110
Humboldt,Clam Beach,5/16/18,CA Dept of Fish & Wildlife,Meat,44
Humboldt,Clam Beach,6/13/18,CA Dept of Fish & Wildlife,Meat,26
Humboldt,Clam Beach,6/13/18,CA Dept of Fish & Wildlife,Meat,<2.5
Humboldt,Clam Beach,6/13/18,CA Dept of Fish & Wildlife,Meat,4.2
Humboldt,Clam Beach,6/13/18,CA Dept of Fish & Wildlife,Meat,16
Humboldt,Clam Beach,6/13/18,CA Dept of Fish & Wildlife,Meat,37
Humboldt,Clam Beach,6/13/18,CA Dept of Fish & Wildlife,Meat,12
Humboldt,Clam Beach,6/13/18,CA Dept of Fish & Wildlife,Meat,4.9
Humboldt,Clam Beach,6/13/18,CA Dept of Fish & Wildlife,Meat,3
Humboldt,Clam Beach,6/13/18,CA Dept of Fish & Wildlife,Meat,10
Humboldt,Clam Beach,6/13/18,CA Dept of Fish & Wildlife,Meat,6.6
Humboldt,Clam Beach,7/13/18,CA Dept of Fish & Wildlife,Meat,27
Humboldt,Clam Beach,7/13/18,CA Dept of Fish & Wildlife,Meat,13
Humboldt,Clam Beach,7/13/18,CA Dept of Fish & Wildlife,Meat,21
Humboldt,Clam Beach,7/13/18,CA Dept of Fish & Wildlife,Meat,43
Humboldt,Clam Beach,7/13/18,CA Dept of Fish & Wildlife,Meat,86
Humboldt,Clam Beach,7/13/18,CA Dept of Fish & Wildlife,Meat,4.2
Humboldt,Clam Beach,7/13/18,CA Dept of Fish & Wildlife,Meat,14
Humboldt,Clam Beach,7/13/18,CA Dept of Fish & Wildlife,Meat,6.6
Humboldt,Clam Beach,7/13/18,CA Dept of Fish & Wildlife,Meat,5.1
Humboldt,Clam Beach,8/13/18,CA Dept of Fish & Wildlife,Meat,26
Humboldt,Clam Beach,8/13/18,CA Dept of Fish & Wildlife,Meat,20
Humboldt,Clam Beach,8/13/18,CA Dept of Fish & Wildlife,Meat,63
Humboldt,Clam Beach,8/13/18,CA Dept of Fish & Wildlife,Meat,21
Humboldt,Clam Beach,8/13/18,CA Dept of Fish & Wildlife,Meat,20
Humboldt,Clam Beach,8/13/18,CA Dept of Fish & Wildlife,Meat,32
Humboldt,Clam Beach,8/13/18,CA Dept of Fish & Wildlife,Meat,29
Humboldt,Clam Beach,8/13/18,CA Dept of Fish & Wildlife,Meat,60
Humboldt,Clam Beach,8/13/18,CA Dept of Fish & Wildlife,Meat,35
Humboldt,Clam Beach,8/13/18,CA Dept of Fish & Wildlife,Meat,3.4
Humboldt,Clam Beach,9/9/18,CA Dept of Fish & Wildlife,Meat,120
Humboldt,Clam Beach,9/9/18,CA Dept of Fish & Wildlife,Meat,150
Humboldt,Clam Beach,9/9/18,CA Dept of Fish & Wildlife,Meat,160
Humboldt,Clam Beach,9/9/18,CA Dept of Fish & Wildlife,Meat,160
Humboldt,Clam Beach,9/9/18,CA Dept of Fish & Wildlife,Meat,110
Humboldt,Clam Beach,9/9/18,CA Dept of Fish & Wildlife,Meat,150
Humboldt,Clam Beach,9/9/18,CA Dept of Fish & Wildlife,Meat,87
Humboldt,Clam Beach,9/9/18,CA Dept of Fish & Wildlife,Meat,140
Humboldt,Clam Beach,9/9/18,CA Dept of Fish & Wildlife,Meat,130
Humboldt,Clam Beach,9/9/18,CA Dept of Fish & Wildlife,Meat,100
Humboldt,Clam Beach,11/13/18,CA Dept of Fish & Wildlife,Meat,180
Humboldt,Clam Beach,11/13/18,CA Dept of Fish & Wildlife,Meat,150
Humboldt,Clam Beach,11/13/18,CA Dept of Fish & Wildlife,Meat,170
Humboldt,Clam Beach,11/13/18,CA Dept of Fish & Wildlife,Meat,230
Humboldt,Clam Beach,11/13/18,CA Dept of Fish & Wildlife,Meat,130
Humboldt,Clam Beach,11/13/18,CA Dept of Fish & Wildlife,Meat,170
Humboldt,Clam Beach,11/13/18,CA Dept of Fish & Wildlife,Meat,300
Humboldt,Clam Beach,11/13/18,CA Dept of Fish & Wildlife,Meat,170
Humboldt,Clam Beach,11/13/18,CA Dept of Fish & Wildlife,Meat,220
Humboldt,Clam Beach,11/13/18,CA Dept of Fish & Wildlife,Meat,150
Humboldt,Clam Beach,11/13/18,CA Dept of Fish & Wildlife,Meat,170
Humboldt,Clam Beach,3/18/19,CA Dept of Fish & Wildlife,Meat,95
Humboldt,Clam Beach,3/18/19,CA Dept of Fish & Wildlife,Meat,120
Humboldt,Clam Beach,3/18/19,CA Dept of Fish & Wildlife,Meat,130
