"sampleid","county","location","long_dd","lat_dd","year","date","type_orig","comm_name","species","type","tissue","da_ppm","da_ppm_prefix"
"M18P00579","Humboldt","Scotty Point",-124.1583,41.086,2018,2018-07-08,"Cultured Rock Scallop, viscera","Rock scallop","Crassadoma gigantea","cultured","viscera",2.5,"<"
"M14P00015","Marin","Tomales Bay, Lease #M430-04",-122.9396,38.2105,2014,2014-01-06,"Pacific Oyster, cultured","Pacific oyster","Crassostrea gigas","cultured","whole",2.5,"<"
"M14P00018","Santa Barbara","Santa Barbara Ch., M-653-02-O",-119.779,34.398,2014,2014-01-06,"Pacific Oyster, cultured","Pacific oyster","Crassostrea gigas","cultured","whole",2.5,"<"
"M14P00070","Santa Barbara","Santa Barbara Ch., M-653-02-O",-119.779,34.398,2014,2014-01-13,"Pacific Oyster, cultured","Pacific oyster","Crassostrea gigas","cultured","whole",2.5,"<"
"M14P00118","Santa Barbara","Santa Barbara Ch., M-653-02-O",-119.779,34.398,2014,2014-01-20,"Pacific Oyster, cultured","Pacific oyster","Crassostrea gigas","cultured","whole",2.5,"<"
"M14P00149","Marin","Tomales Bay, Lease #M430-06-O",-122.8783,38.139,2014,2014-01-28,"Pacific Oyster, cultured","Pacific oyster","Crassostrea gigas","cultured","whole",2.5,"<"
"M14P00169","Santa Barbara","Santa Barbara Ch., M-653-02-O",-119.779,34.398,2014,2014-02-03,"Pacific Oyster, cultured","Pacific oyster","Crassostrea gigas","cultured","whole",2.5,"<"
"M14P00167","Marin","Tomales Bay, Lease #M430-06-O",-122.8783,38.139,2014,2014-02-04,"Pacific Oyster, cultured","Pacific oyster","Crassostrea gigas","cultured","whole",2.5,"<"
"M14P00181","San Luis Obispo","Morro Bay, Lease M-614-01 P1-O",-120.8489,35.34099,2014,2014-02-10,"Pacific Oyster, cultured","Pacific oyster","Crassostrea gigas","cultured","whole",2.5,"<"
"M14P00182","San Luis Obispo","Morro Bay, Lease M-614-02-O",-120.85022,35.3311,2014,2014-02-10,"Pacific Oyster, cultured","Pacific oyster","Crassostrea gigas","cultured","whole",2.5,"<"
"M14P00187","San Luis Obispo","Morro Bay, Lease M-614-01 P2-O",-120.8437,35.33749,2014,2014-02-10,"Pacific Oyster, cultured","Pacific oyster","Crassostrea gigas","cultured","whole",2.5,"<"
"M14P00213","Santa Barbara","Santa Barbara Ch., M-653-02-O",-119.779,34.398,2014,2014-02-16,"Pacific Oyster, cultured","Pacific oyster","Crassostrea gigas","cultured","whole",2.5,"<"
"M14P00228","Santa Barbara","Santa Barbara Ch., M-653-02-O",-119.779,34.398,2014,2014-02-24,"Pacific Oyster, cultured","Pacific oyster","Crassostrea gigas","cultured","whole",2.5,"<"
"M14P00278","San Luis Obispo","Morro Bay, Lease M-614-02-O",-120.85022,35.3311,2014,2014-03-10,"Pacific Oyster, cultured","Pacific oyster","Crassostrea gigas","cultured","whole",2.5,"<"
"M14P00279","San Luis Obispo","Morro Bay, Lease M-614-01 P2-O",-120.8437,35.33749,2014,2014-03-10,"Pacific Oyster, cultured","Pacific oyster","Crassostrea gigas","cultured","whole",2.5,"<"
